Precious Achiuwa,C,TOR,73,6.5,1.1,9.1,2021-2022
Steven Adams,C,MEM,76,10.0,3.4,6.9,2021-2022
Bam Adebayo,C,MIA,56,10.1,3.4,19.1,2021-2022
Santi Aldama,PF,MEM,32,2.7,0.7,4.1,2021-2022
LaMarcus Aldridge,C,BRK,47,5.5,0.9,12.9,2021-2022
Nickeil Alexander-Walker,SG,TOT,65,2.9,2.4,10.6,2021-2022
Nickeil Alexander-Walker,SG,NOP,50,3.3,2.8,12.8,2021-2022
Nickeil Alexander-Walker,SG,UTA,15,1.5,1.1,3.5,2021-2022
Grayson Allen,SG,MIL,66,3.4,1.5,11.1,2021-2022
Jarrett Allen,C,CLE,56,10.8,1.6,16.1,2021-2022
Jose Alvarado,PG,NOP,54,1.9,2.8,6.1,2021-2022
Justin Anderson,SF,TOT,16,2.9,2.1,6.4,2021-2022
Justin Anderson,SF,CLE,3,2.0,2.0,4.3,2021-2022
Justin Anderson,SF,IND,13,3.1,2.1,6.8,2021-2022
Kyle Anderson,PF,MEM,69,5.3,2.7,7.6,2021-2022
Giannis Antetokounmpo,PF,MIL,67,11.6,5.8,29.9,2021-2022
Thanasis Antetokounmpo,SF,MIL,48,2.1,0.5,3.6,2021-2022
Carmelo Anthony,PF,LAL,69,4.2,1.0,13.3,2021-2022
Cole Anthony,PG,ORL,65,5.4,5.7,16.3,2021-2022
OG Anunoby,SF,TOR,48,5.5,2.6,17.1,2021-2022
Ryan Arcidiacono,PG,NYK,10,0.8,0.4,1.6,2021-2022
Trevor Ariza,SF,LAL,24,3.4,1.1,4.0,2021-2022
D.J. Augustin,PG,TOT,55,1.2,1.9,5.3,2021-2022
D.J. Augustin,PG,HOU,34,1.2,2.2,5.4,2021-2022
D.J. Augustin,PG,LAL,21,1.3,1.6,5.3,2021-2022
Deni Avdija,SF,WAS,82,5.2,2.0,8.4,2021-2022
Joel Ayayi,SG,WAS,7,0.4,0.6,0.3,2021-2022
Deandre Ayton,C,PHO,58,10.2,1.4,17.2,2021-2022
Udoka Azubuike,C,UTA,17,4.2,0.0,4.7,2021-2022
Marvin Bagley III,PF,TOT,48,7.0,0.8,11.3,2021-2022
Marvin Bagley III,PF,SAC,30,7.2,0.6,9.3,2021-2022
Marvin Bagley III,PF,DET,18,6.8,1.1,14.6,2021-2022
LaMelo Ball,PG,CHO,75,6.7,7.6,20.1,2021-2022
Lonzo Ball,PG,CHI,35,5.4,5.1,13.0,2021-2022
Mo Bamba,C,ORL,71,8.1,1.2,10.6,2021-2022
Desmond Bane,SF,MEM,76,4.4,2.7,18.2,2021-2022
Dalano Banton,SF,TOR,64,1.9,1.5,3.2,2021-2022
Cat Barber,PG,ATL,3,1.0,1.0,0.0,2021-2022
Harrison Barnes,PF,SAC,77,5.6,2.4,16.4,2021-2022
Scottie Barnes,PF,TOR,74,7.5,3.5,15.3,2021-2022
RJ Barrett,SF,NYK,70,5.8,3.0,20.0,2021-2022
Will Barton,SG,DEN,71,4.8,3.9,14.7,2021-2022
Paris Bass,SF,PHO,2,2.0,0.0,3.0,2021-2022
Charles Bassey,PF,PHI,23,2.7,0.3,3.0,2021-2022
Keita Bates-Diop,SF,SAS,59,3.9,0.7,5.7,2021-2022
Nicolas Batum,PF,LAC,59,4.3,1.7,8.3,2021-2022
Kent Bazemore,SF,LAL,39,1.8,0.9,3.4,2021-2022
Darius Bazley,PF,OKC,69,6.3,1.4,10.8,2021-2022
Bradley Beal,SG,WAS,40,4.7,6.6,23.2,2021-2022
Malik Beasley,SG,MIN,79,2.9,1.5,12.1,2021-2022
Jordan Bell,C,CHI,1,1.0,0.0,0.0,2021-2022
DeAndre' Bembry,SF,TOT,56,2.9,1.2,5.1,2021-2022
DeAndre' Bembry,SF,BRK,48,3.2,1.3,5.8,2021-2022
DeAndre' Bembry,SF,MIL,8,1.4,0.8,0.8,2021-2022
Dāvis Bertāns,PF,TOT,56,2.1,0.6,5.6,2021-2022
Dāvis Bertāns,PF,WAS,34,1.8,0.5,5.7,2021-2022
Dāvis Bertāns,PF,DAL,22,2.5,0.7,5.3,2021-2022
Patrick Beverley,PG,MIN,58,4.1,4.6,9.2,2021-2022
Saddiq Bey,SF,DET,82,5.4,2.8,16.1,2021-2022
Khem Birch,C,TOR,55,4.3,1.0,4.5,2021-2022
Goga Bitadze,C,IND,50,3.5,1.1,7.0,2021-2022
Bismack Biyombo,C,PHO,36,4.6,0.6,5.8,2021-2022
Nemanja Bjelica,C,GSW,71,4.1,2.2,6.1,2021-2022
Eric Bledsoe,PG,LAC,54,3.4,4.2,9.9,2021-2022
Keljin Blevins,SF,POR,31,1.5,0.6,3.1,2021-2022
Bogdan Bogdanović,SG,ATL,63,4.0,3.1,15.1,2021-2022
Bojan Bogdanović,PF,UTA,69,4.3,1.7,18.1,2021-2022
Bol Bol,PF,DEN,14,1.4,0.4,2.4,2021-2022
Leandro Bolmaro,SF,MIN,35,1.2,0.6,1.4,2021-2022
Isaac Bonga,SF,TOR,15,0.5,0.3,0.8,2021-2022
Devin Booker,SG,PHO,68,5.0,4.8,26.8,2021-2022
Brandon Boston Jr.,SG,LAC,51,2.2,1.0,6.7,2021-2022
Chris Boucher,PF,TOR,80,6.2,0.3,9.4,2021-2022
James Bouknight,SG,CHO,31,1.7,0.8,4.6,2021-2022
Avery Bradley,SG,LAL,62,2.2,0.8,6.4,2021-2022
Tony Bradley,C,CHI,55,3.4,0.5,3.0,2021-2022
Ignas Brazdeikis,SF,ORL,42,1.7,0.9,5.0,2021-2022
Mikal Bridges,SF,PHO,82,4.2,2.3,14.2,2021-2022
Miles Bridges,PF,CHO,80,7.0,3.8,20.2,2021-2022
Oshae Brissett,SF,IND,67,5.3,1.1,9.1,2021-2022
Malcolm Brogdon,PG,IND,36,5.1,5.9,19.1,2021-2022
Armoni Brooks,SG-PG,TOT,54,1.9,1.1,5.3,2021-2022
Armoni Brooks,SG,HOU,41,2.0,1.2,6.2,2021-2022
Armoni Brooks,PG,TOR,13,1.7,1.0,2.6,2021-2022
Dillon Brooks,SF,MEM,32,3.2,2.8,18.4,2021-2022
Bruce Brown,SF,BRK,72,4.8,2.1,9.0,2021-2022
Charlie Brown Jr.,SG,TOT,22,1.5,0.3,1.4,2021-2022
Charlie Brown Jr.,SG,DAL,3,0.3,0.3,0.7,2021-2022
Charlie Brown Jr.,SG,PHI,19,1.6,0.3,1.5,2021-2022
Chaundee Brown Jr.,SG-SF,TOT,5,3.2,0.8,6.2,2021-2022
Chaundee Brown Jr.,SF,LAL,2,1.0,0.0,1.0,2021-2022
Chaundee Brown Jr.,SG,ATL,3,4.7,1.3,9.7,2021-2022
Greg Brown III,SF,POR,48,2.8,0.7,4.7,2021-2022
Jaylen Brown,SF,BOS,66,6.1,3.5,23.6,2021-2022
Moses Brown,C,TOT,40,3.4,0.0,4.3,2021-2022
Moses Brown,C,DAL,26,2.3,0.0,3.1,2021-2022
Moses Brown,C,CLE,14,5.3,0.0,6.4,2021-2022
Sterling Brown,SG,DAL,49,3.0,0.7,3.3,2021-2022
Troy Brown Jr.,SF,CHI,66,3.1,1.0,4.3,2021-2022
Jalen Brunson,PG,DAL,79,3.9,4.8,16.3,2021-2022
Thomas Bryant,C,WAS,27,4.0,0.9,7.4,2021-2022
Shaq Buchanan,PG,MEM,2,1.0,1.0,1.0,2021-2022
Reggie Bullock,SF,DAL,68,3.5,1.2,8.6,2021-2022
Trey Burke,PG,DAL,42,0.8,1.4,5.1,2021-2022
Alec Burks,SG,NYK,81,4.9,3.0,11.7,2021-2022
Jared Butler,SG,UTA,42,1.1,1.5,3.8,2021-2022
Jimmy Butler,SF,MIA,57,5.9,5.5,21.4,2021-2022
Devontae Cacok,PF,SAS,15,2.8,0.4,3.1,2021-2022
Kentavious Caldwell-Pope,SG,WAS,77,3.4,1.9,13.2,2021-2022
Facundo Campazzo,PG,DEN,65,1.8,3.4,5.1,2021-2022
Vlatko Čančar,PF,DEN,15,2.1,1.1,4.1,2021-2022
Devin Cannady,PG,ORL,5,1.2,2.0,10.0,2021-2022
Clint Capela,C,ATL,74,11.9,1.2,11.1,2021-2022
Vernon Carey Jr.,C,TOT,7,1.7,0.0,2.9,2021-2022
Vernon Carey Jr.,C,CHO,4,1.3,0.0,2.0,2021-2022
Vernon Carey Jr.,C,WAS,3,2.3,0.0,4.0,2021-2022
Jevon Carter,PG,TOT,66,1.7,1.5,4.2,2021-2022
Jevon Carter,PG,BRK,46,1.5,1.0,3.6,2021-2022
Jevon Carter,PG,MIL,20,2.2,2.5,5.6,2021-2022
Wendell Carter Jr.,C,ORL,62,10.5,2.8,15.0,2021-2022
Alex Caruso,SG,CHI,41,3.6,4.0,7.4,2021-2022
Willie Cauley-Stein,C,TOT,20,2.0,0.5,1.7,2021-2022
Willie Cauley-Stein,C,DAL,18,2.1,0.5,1.9,2021-2022
Willie Cauley-Stein,C,PHI,2,1.0,0.5,0.0,2021-2022
Ahmad Caver,PG,IND,1,0.0,0.0,2.0,2021-2022
Justin Champagnie,SF,TOR,36,2.0,0.3,2.3,2021-2022
Zylan Cheatham,SF,UTA,1,0.0,0.0,0.0,2021-2022
Chris Chiozza,PG,GSW,34,1.1,1.9,2.0,2021-2022
Marquese Chriss,PF,DAL,34,3.0,0.5,4.5,2021-2022
Josh Christopher,SG,HOU,74,2.5,2.0,7.9,2021-2022
Gary Clark,PF,NOP,38,2.4,0.5,2.7,2021-2022
Brandon Clarke,PF,MEM,64,5.3,1.3,10.4,2021-2022
Jordan Clarkson,SG,UTA,79,3.5,2.5,16.0,2021-2022
Nic Claxton,C,BRK,47,5.6,0.9,8.7,2021-2022
Amir Coffey,SG,LAC,69,2.9,1.8,9.0,2021-2022
John Collins,PF,ATL,54,7.8,1.8,16.2,2021-2022
Zach Collins,PF,SAS,28,5.5,2.2,7.8,2021-2022
Darren Collison,PG,LAL,3,1.3,0.7,1.3,2021-2022
Mike Conley,PG,UTA,72,3.0,5.3,13.7,2021-2022
Pat Connaughton,SG,MIL,65,4.2,1.3,9.9,2021-2022
Tyler Cook,PF,CHI,20,2.7,0.2,3.4,2021-2022
Sharife Cooper,PG,ATL,13,0.4,0.4,0.5,2021-2022
Petr Cornelie,PF,DEN,13,1.1,0.2,1.1,2021-2022
DeMarcus Cousins,C,TOT,48,5.6,1.5,9.0,2021-2022
DeMarcus Cousins,C,MIL,17,5.8,1.1,9.1,2021-2022
DeMarcus Cousins,C,DEN,31,5.5,1.7,8.9,2021-2022
Robert Covington,PF-SF,TOT,71,5.5,1.3,8.5,2021-2022
Robert Covington,PF,POR,48,5.7,1.4,7.6,2021-2022
Robert Covington,SF,LAC,23,5.1,1.0,10.4,2021-2022
Torrey Craig,SF,TOT,78,4.0,1.2,6.6,2021-2022
Torrey Craig,SF,IND,51,3.8,1.1,6.5,2021-2022
Torrey Craig,SF,PHO,27,4.3,1.2,6.9,2021-2022
Jae Crowder,PF,PHO,67,5.3,1.9,9.4,2021-2022
Jarrett Culver,SG,MEM,37,1.3,0.9,3.5,2021-2022
Jarron Cumberland,SG,POR,3,1.0,0.3,0.7,2021-2022
Cade Cunningham,PG,DET,64,5.5,5.6,17.4,2021-2022
Seth Curry,SG,TOT,64,3.1,3.6,15.0,2021-2022
Seth Curry,SG,PHI,45,3.4,4.0,15.0,2021-2022
Seth Curry,SG,BRK,19,2.6,2.6,14.9,2021-2022
Stephen Curry,PG,GSW,64,5.2,6.3,25.5,2021-2022
Anthony Davis,C,LAL,40,9.9,3.1,23.2,2021-2022
Ed Davis,C,CLE,31,2.1,0.2,0.9,2021-2022
Terence Davis,SG,SAC,30,3.1,1.3,10.4,2021-2022
Gabriel Deck,PF,OKC,7,0.9,0.7,2.6,2021-2022
Dewayne Dedmon,C,MIA,67,5.8,0.7,6.3,2021-2022
Sam Dekker,PF,TOR,1,0.0,0.0,0.0,2021-2022
Javin DeLaurier,C,MIL,1,1.0,0.0,0.0,2021-2022
DeMar DeRozan,PF,CHI,76,5.2,4.9,27.9,2021-2022
Mamadi Diakite,PF,OKC,13,4.5,0.2,4.3,2021-2022
Cheick Diallo,C,DET,3,4.0,0.0,3.7,2021-2022
Hamidou Diallo,SG,DET,58,4.8,1.3,11.0,2021-2022
Gorgui Dieng,C,ATL,44,2.8,0.8,3.5,2021-2022
Spencer Dinwiddie,PG,TOT,67,4.2,5.2,13.7,2021-2022
Spencer Dinwiddie,PG,WAS,44,4.7,5.8,12.6,2021-2022
Spencer Dinwiddie,PG,DAL,23,3.1,3.9,15.8,2021-2022
Donte DiVincenzo,SG,TOT,42,4.0,2.8,9.0,2021-2022
Donte DiVincenzo,SG,MIL,17,3.5,1.7,7.2,2021-2022
Donte DiVincenzo,SG,SAC,25,4.4,3.6,10.3,2021-2022
Luka Dončić,PG,DAL,65,9.1,8.7,28.4,2021-2022
Luguentz Dort,SF,OKC,51,4.2,1.7,17.2,2021-2022
Ayo Dosunmu,SG,CHI,77,2.8,3.3,8.8,2021-2022
Damyean Dotson,SG,NYK,2,1.0,0.5,2.0,2021-2022
Devon Dotson,PG,CHI,11,0.8,1.4,2.6,2021-2022
Sekou Doumbouya,PF,LAL,2,3.0,0.0,7.0,2021-2022
Jeff Dowtin,PG,TOT,9,2.0,1.1,2.1,2021-2022
Jeff Dowtin,PG,GSW,4,1.8,0.8,1.5,2021-2022
Jeff Dowtin,PG,MIL,1,0.0,0.0,0.0,2021-2022
Jeff Dowtin,PG,ORL,4,2.8,1.8,3.3,2021-2022
PJ Dozier,SG,DEN,18,3.5,1.6,5.4,2021-2022
Goran Dragić,PG,TOT,21,3.1,4.1,7.5,2021-2022
Goran Dragić,PG,TOR,5,2.8,1.8,8.0,2021-2022
Goran Dragić,PG,BRK,16,3.2,4.8,7.3,2021-2022
Andre Drummond,C,TOT,73,9.3,1.8,7.9,2021-2022
Andre Drummond,C,PHI,49,8.8,2.0,6.1,2021-2022
Andre Drummond,C,BRK,24,10.3,1.4,11.8,2021-2022
Chris Duarte,SG,IND,55,4.1,2.1,13.1,2021-2022
David Duke Jr.,PG,BRK,22,3.0,0.8,4.7,2021-2022
Kris Dunn,PG,POR,14,3.5,5.6,7.6,2021-2022
Kevin Durant,PF,BRK,55,7.4,6.4,29.9,2021-2022
Jaime Echenique,C,WAS,1,0.0,0.0,0.0,2021-2022
Anthony Edwards,SG,MIN,72,4.8,3.8,21.3,2021-2022
Carsen Edwards,SG,DET,4,1.5,3.5,5.8,2021-2022
Kessler Edwards,SF,BRK,48,3.6,0.6,5.9,2021-2022
Rob Edwards,SG,OKC,2,1.5,0.0,1.5,2021-2022
CJ Elleby,SF,POR,58,3.9,1.5,5.8,2021-2022
Wayne Ellington,SG,LAL,43,1.8,0.7,6.7,2021-2022
Joel Embiid,C,PHI,68,11.7,4.2,30.6,2021-2022
James Ennis III,SF,TOT,7,1.7,0.4,4.1,2021-2022
James Ennis III,SF,BRK,2,2.5,0.0,2.5,2021-2022
James Ennis III,SF,LAC,2,2.5,0.0,10.0,2021-2022
James Ennis III,SF,DEN,3,0.7,1.0,1.3,2021-2022
Drew Eubanks,C,TOT,71,5.4,1.2,7.7,2021-2022
Drew Eubanks,C,SAS,49,4.0,1.0,4.7,2021-2022
Drew Eubanks,C,POR,22,8.5,1.6,14.5,2021-2022
Tacko Fall,C,CLE,11,2.1,0.2,1.1,2021-2022
Derrick Favors,C,OKC,39,4.7,0.6,5.3,2021-2022
Bruno Fernando,C,TOT,30,1.8,0.2,2.9,2021-2022
Bruno Fernando,C,BOS,20,0.8,0.2,1.0,2021-2022
Bruno Fernando,C,HOU,10,4.0,0.3,6.9,2021-2022
Dorian Finney-Smith,PF,DAL,80,4.7,1.9,11.0,2021-2022
Malik Fitts,PF,TOT,15,1.1,0.3,1.4,2021-2022
Malik Fitts,PF,UTA,7,1.4,0.0,0.9,2021-2022
Malik Fitts,PF,BOS,8,0.9,0.6,1.9,2021-2022
Malachi Flynn,PG,TOR,44,1.4,1.6,4.3,2021-2022
Bryn Forbes,SG,TOT,75,1.2,1.0,8.8,2021-2022
Bryn Forbes,SG,SAS,40,1.6,1.0,9.1,2021-2022
Bryn Forbes,SG,DEN,35,0.9,1.0,8.6,2021-2022
Aleem Ford,SF,ORL,5,3.0,0.4,2.8,2021-2022
Trent Forrest,PG,UTA,60,1.7,1.8,3.3,2021-2022
Evan Fournier,SG,NYK,80,2.6,2.1,14.1,2021-2022
De'Aaron Fox,PG,SAC,59,3.9,5.6,23.2,2021-2022
Melvin Frazier,SG,OKC,3,4.3,0.3,10.7,2021-2022
Tim Frazier,PG,TOT,12,1.6,2.8,3.3,2021-2022
Tim Frazier,PG,ORL,10,1.9,3.3,3.7,2021-2022
Tim Frazier,PG,CLE,2,0.0,0.5,1.0,2021-2022
Enes Freedom,C,BOS,35,4.6,0.2,3.7,2021-2022
Markelle Fultz,PG,ORL,18,2.7,5.5,10.8,2021-2022
Wenyen Gabriel,PF,TOT,26,3.7,0.5,5.4,2021-2022
Wenyen Gabriel,PF,BRK,1,1.0,0.0,0.0,2021-2022
Wenyen Gabriel,PF,LAC,6,2.3,0.3,2.3,2021-2022
Wenyen Gabriel,PF,LAL,19,4.3,0.6,6.7,2021-2022
Daniel Gafford,C,WAS,72,5.7,0.9,9.4,2021-2022
Danilo Gallinari,PF,ATL,66,4.7,1.5,11.7,2021-2022
Langston Galloway,SG,TOT,7,2.6,1.7,2.0,2021-2022
Langston Galloway,SG,BRK,4,2.0,1.3,3.0,2021-2022
Langston Galloway,SG,MIL,3,3.3,2.3,0.7,2021-2022
Darius Garland,PG,CLE,68,3.3,8.6,21.7,2021-2022
Marcus Garrett,SG,MIA,12,1.9,0.6,1.1,2021-2022
Usman Garuba,PF,HOU,24,3.5,0.7,2.0,2021-2022
Luka Garza,C,DET,32,3.1,0.6,5.8,2021-2022
Rudy Gay,PF,UTA,55,4.4,1.0,8.1,2021-2022
Paul George,SF,LAC,31,6.9,5.7,24.3,2021-2022
Taj Gibson,C,NYK,52,4.4,0.6,4.4,2021-2022
Josh Giddey,SG,OKC,54,7.8,6.4,12.5,2021-2022
Shai Gilgeous-Alexander,PG,OKC,56,5.0,5.9,24.5,2021-2022
Anthony Gill,PF,WAS,44,1.9,0.6,4.1,2021-2022
Freddie Gillespie,PF,ORL,9,4.0,0.6,2.3,2021-2022
Rudy Gobert,C,UTA,66,14.7,1.1,15.6,2021-2022
Brandon Goodwin,PG,CLE,36,1.9,2.5,4.8,2021-2022
Jordan Goodwin,SG,WAS,2,0.5,0.0,0.0,2021-2022
Aaron Gordon,PF,DEN,75,5.9,2.5,15.0,2021-2022
Eric Gordon,SG,HOU,57,2.0,2.7,13.4,2021-2022
Devonte' Graham,PG,NOP,76,2.3,4.2,11.9,2021-2022
Jerami Grant,PF,DET,47,4.1,2.4,19.2,2021-2022
Hassani Gravett,PG,ORL,8,2.6,2.5,6.3,2021-2022
Danny Green,SF,PHI,62,2.5,1.0,5.9,2021-2022
Draymond Green,PF,GSW,46,7.3,7.0,7.5,2021-2022
Jalen Green,SG,HOU,67,3.4,2.6,17.3,2021-2022
JaMychal Green,PF,DEN,67,4.2,0.9,6.4,2021-2022
Javonte Green,SF,CHI,65,4.2,0.9,7.2,2021-2022
Jeff Green,C,DEN,75,3.1,1.3,10.3,2021-2022
Josh Green,SG,DAL,67,2.4,1.2,4.8,2021-2022
Blake Griffin,PF,BRK,56,4.1,1.9,6.4,2021-2022
Quentin Grimes,SG,NYK,46,2.0,1.0,6.0,2021-2022
Kyle Guy,SG,MIA,19,0.9,0.9,3.9,2021-2022
Rui Hachimura,PF,WAS,42,3.8,1.1,11.3,2021-2022
Tyrese Haliburton,SG-PG,TOT,77,4.0,8.2,15.3,2021-2022
Tyrese Haliburton,SG,SAC,51,3.9,7.4,14.3,2021-2022
Tyrese Haliburton,PG,IND,26,4.3,9.6,17.5,2021-2022
Tyler Hall,SG,NYK,1,0.0,0.0,0.0,2021-2022
